peak_bin_dt,direction,employees,theoretical_buses
2026-04-10 00:00:00,IN,8,1
2026-04-10 00:00:00,OUT,14,1
2026-04-10 01:00:00,OUT,39,2
2026-04-10 02:00:00,OUT,4,1
2026-04-10 03:00:00,OUT,128,6
2026-04-10 04:00:00,IN,2,1
2026-04-10 04:00:00,OUT,9,1
2026-04-10 05:00:00,OUT,167,8
2026-04-10 06:00:00,IN,13,1
2026-04-10 06:00:00,OUT,26,2
2026-04-10 08:00:00,IN,6,1
2026-04-10 08:00:00,OUT,1,1
2026-04-10 09:00:00,IN,97,5
2026-04-10 09:00:00,OUT,7,1
2026-04-10 10:00:00,IN,17,1
2026-04-10 10:00:00,OUT,1,1
2026-04-10 11:00:00,IN,94,5
2026-04-10 12:00:00,IN,8,1
2026-04-10 12:00:00,OUT,2,1
2026-04-10 13:00:00,IN,4,1
2026-04-10 14:00:00,IN,17,1
2026-04-10 15:00:00,OUT,1,1
2026-04-10 16:00:00,IN,29,2
2026-04-10 16:00:00,OUT,27,2
2026-04-10 17:00:00,IN,10,1
2026-04-10 17:00:00,OUT,4,1
2026-04-10 18:00:00,IN,117,6
2026-04-10 18:00:00,OUT,81,4
2026-04-10 19:00:00,IN,12,1
2026-04-10 19:00:00,OUT,11,1
2026-04-10 20:00:00,IN,179,9
2026-04-10 20:00:00,OUT,76,4
2026-04-10 21:00:00,IN,22,1
2026-04-10 21:00:00,OUT,4,1
2026-04-10 22:00:00,IN,1,1
2026-04-10 22:00:00,OUT,2,1
2026-04-10 23:00:00,OUT,30,2
