trip_id,trip_type,service_date,bus_id,rotation_tag,planned_start_dt,planned_end_dt,trip_duration_min,occupancy_pct,assigned_passengers,rescued_by_delay,handover_flag
NEW_0001,IN,2026-04-10,1,evening,2026-04-10 20:45:00.000,2026-04-11 00:08:13.200,203.22,31.82,7,False,True
NEW_0047,OUT,2026-04-11,1,morning,2026-04-11 00:15:00.000,2026-04-11 02:33:57.600,138.96,72.73,16,False,False
NEW_0048,OUT,2026-04-11,2,morning,2026-04-11 01:00:00.000,2026-04-11 02:14:01.800,74.03,63.64,14,False,False
NEW_0050,OUT,2026-04-11,3,morning,2026-04-11 01:00:00.000,2026-04-11 05:34:48.000,274.8,22.73,5,False,False
NEW_0049,OUT,2026-04-11,4,morning,2026-04-11 01:30:00.000,2026-04-11 03:26:02.400,116.04,90.91,20,False,False
NEW_0051,OUT,2026-04-11,5,morning,2026-04-11 03:00:00.000,2026-04-11 06:09:43.800,189.73,90.91,20,False,False
NEW_0052,OUT,2026-04-11,6,morning,2026-04-11 03:00:00.000,2026-04-11 04:12:34.800,72.58,86.36,19,False,False
NEW_0054,OUT,2026-04-11,7,morning,2026-04-11 03:00:00.000,2026-04-11 03:44:02.400,44.04,86.36,19,False,False
NEW_0055,OUT,2026-04-11,8,morning,2026-04-11 03:15:00.000,2026-04-11 04:32:03.000,77.05,72.73,16,False,False
NEW_0058,OUT,2026-04-11,9,morning,2026-04-11 03:15:00.000,2026-04-11 07:18:48.000,243.8,45.45,10,False,False
NEW_0053,OUT,2026-04-11,10,morning,2026-04-11 03:30:00.000,2026-04-11 04:24:16.200,54.27,72.73,16,False,False
NEW_0056,OUT,2026-04-11,11,morning,2026-04-11 03:30:00.000,2026-04-11 04:33:35.400,63.59,63.64,14,False,False
NEW_0057,OUT,2026-04-11,12,morning,2026-04-11 03:30:00.000,2026-04-11 05:02:01.800,92.03,59.09,13,False,False
NEW_0059,OUT,2026-04-11,4,morning,2026-04-11 04:00:00.000,2026-04-11 08:12:03.600,252.06,50.0,11,False,False
NEW_0002,MIXED,2026-04-11,13,morning,2026-04-11 04:00:00.000,2026-04-11 05:09:37.800,69.63,72.73,18,False,False
NEW_0011,IN,2026-04-11,7,morning,2026-04-11 04:15:00.000,2026-04-11 08:39:53.400,264.89,31.82,7,False,False
NEW_0003,IN,2026-04-11,2,morning,2026-04-11 04:30:00.000,2026-04-11 06:19:19.200,109.32,68.18,15,False,False
NEW_0006,IN,2026-04-11,6,morning,2026-04-11 04:45:00.000,2026-04-11 09:19:12.000,274.2,86.36,19,False,False
NEW_0061,OUT,2026-04-11,10,morning,2026-04-11 05:00:00.000,2026-04-11 08:06:15.600,186.26,100.0,22,False,False
NEW_0065,OUT,2026-04-11,1,morning,2026-04-11 05:30:00.000,2026-04-11 06:51:37.200,81.62,100.0,22,False,False
NEW_0064,OUT,2026-04-11,8,morning,2026-04-11 05:30:00.000,2026-04-11 06:47:33.600,77.56,100.0,22,False,False
NEW_0062,OUT,2026-04-11,11,morning,2026-04-11 05:30:00.000,2026-04-11 06:35:06.600,65.11,100.0,22,False,False
NEW_0060,OUT,2026-04-11,12,morning,2026-04-11 05:32:01.800,2026-04-11 06:11:03.600,39.03,95.45,21,False,False
NEW_0063,OUT,2026-04-11,13,morning,2026-04-11 05:39:37.800,2026-04-11 06:41:39.000,62.02,95.45,21,False,False
NEW_0069,OUT,2026-04-11,3,morning,2026-04-11 06:30:00.000,2026-04-11 08:01:12.000,91.2,59.09,13,False,False
NEW_0070,OUT,2026-04-11,5,morning,2026-04-11 06:39:43.800,2026-04-11 09:41:53.400,182.16,45.45,10,False,False
NEW_0014,IN,2026-04-11,12,morning,2026-04-11 06:45:00.000,2026-04-11 11:24:21.600,279.36,59.09,13,False,False
NEW_0005,MIXED,2026-04-11,13,morning,2026-04-11 07:15:00.000,2026-04-11 11:36:47.400,261.79,77.27,28,False,False
NEW_0010,IN,2026-04-11,2,morning,2026-04-11 07:30:00.000,2026-04-11 08:40:01.800,70.03,40.91,9,False,False
NEW_0022,IN,2026-04-11,8,morning,2026-04-11 07:30:00.000,2026-04-11 12:26:40.800,296.68,50.0,11,False,False
NEW_0009,IN,2026-04-11,11,morning,2026-04-11 07:30:00.000,2026-04-11 08:30:19.800,60.33,54.55,12,False,False
NEW_0007,IN,2026-04-11,1,morning,2026-04-11 08:15:00.000,2026-04-11 09:27:33.600,72.56,59.09,13,False,False
NEW_0004,IN,2026-04-11,9,morning,2026-04-11 08:15:00.000,2026-04-11 09:11:43.800,56.73,81.82,18,False,False
NEW_0013,IN,2026-04-11,3,morning,2026-04-11 08:31:12.000,2026-04-11 10:28:09.600,116.96,54.55,12,False,False
NEW_0012,IN,2026-04-11,4,morning,2026-04-11 08:45:00.000,2026-04-11 10:21:40.200,96.67,27.27,6,False,False
NEW_0021,IN,2026-04-11,10,morning,2026-04-11 08:45:00.000,2026-04-11 11:17:57.000,152.95,40.91,9,False,False
NEW_0019,IN,2026-04-11,11,morning,2026-04-11 09:30:00.000,2026-04-11 10:42:34.200,72.57,50.0,11,False,False
NEW_0017,IN,2026-04-11,6,morning,2026-04-11 10:00:00.000,2026-04-11 11:15:46.800,75.78,45.45,10,False,False
NEW_0016,IN,2026-04-11,9,morning,2026-04-11 10:00:00.000,2026-04-11 11:26:27.000,86.45,63.64,14,False,False
NEW_0020,IN,2026-04-11,5,morning,2026-04-11 10:15:00.000,2026-04-11 11:18:51.600,63.86,36.36,8,False,False
NEW_0018,IN,2026-04-11,7,morning,2026-04-11 10:30:00.000,2026-04-11 11:24:36.600,54.61,54.55,12,False,False
NEW_0015,MIXED,2026-04-11,11,morning,2026-04-11 11:12:34.200,2026-04-11 12:00:48.600,48.24,50.0,13,True,False
NEW_0024,IN,2026-04-11,13,morning,2026-04-11 12:06:47.400,2026-04-11 13:56:59.400,110.2,72.73,16,True,False
NEW_0027,IN,2026-04-11,1,evening,2026-04-11 14:15:00.000,2026-04-11 18:29:58.800,254.98,100.0,22,False,True
NEW_0026,IN,2026-04-11,2,evening,2026-04-11 14:15:00.000,2026-04-11 16:09:51.000,114.85,54.55,12,False,True
NEW_0034,IN,2026-04-11,3,evening,2026-04-11 14:30:00.000,2026-04-11 19:26:43.200,296.72,36.36,8,False,True
