peak_bin_dt,direction,employees,theoretical_buses
2026-04-08 00:00:00,IN,6,1
2026-04-08 00:00:00,OUT,17,1
2026-04-08 01:00:00,OUT,33,2
2026-04-08 02:00:00,OUT,4,1
2026-04-08 03:00:00,OUT,115,6
2026-04-08 04:00:00,IN,2,1
2026-04-08 04:00:00,OUT,9,1
2026-04-08 05:00:00,OUT,157,8
2026-04-08 06:00:00,IN,13,1
2026-04-08 06:00:00,OUT,19,1
2026-04-08 08:00:00,IN,6,1
2026-04-08 08:00:00,OUT,1,1
2026-04-08 09:00:00,IN,104,5
2026-04-08 09:00:00,OUT,6,1
2026-04-08 10:00:00,IN,20,1
2026-04-08 10:00:00,OUT,2,1
2026-04-08 11:00:00,IN,93,5
2026-04-08 12:00:00,IN,9,1
2026-04-08 12:00:00,OUT,2,1
2026-04-08 13:00:00,IN,4,1
2026-04-08 14:00:00,IN,15,1
2026-04-08 15:00:00,OUT,1,1
2026-04-08 16:00:00,IN,26,2
2026-04-08 16:00:00,OUT,31,2
2026-04-08 17:00:00,IN,10,1
2026-04-08 17:00:00,OUT,3,1
2026-04-08 18:00:00,IN,97,5
2026-04-08 18:00:00,OUT,88,4
2026-04-08 19:00:00,IN,12,1
2026-04-08 19:00:00,OUT,11,1
2026-04-08 20:00:00,IN,177,9
2026-04-08 20:00:00,OUT,77,4
2026-04-08 21:00:00,IN,22,1
2026-04-08 21:00:00,OUT,3,1
2026-04-08 22:00:00,IN,1,1
2026-04-08 22:00:00,OUT,3,1
2026-04-08 23:00:00,OUT,30,2
