duty_id,bus_id,service_date,rotation_tag,first_trip_start_dt,last_trip_end_dt,trip_count,trip_minutes,avg_occupancy_pct,rescued_trip_count,handover_trip_count,duty_span_min,overtime_min,over_10h_flag
DUTY_0001,1,2026-04-09,evening,2026-04-09 20:45:00,2026-04-10 00:08:13.200,1,203.22,36.36,0,1,203.22,0.0,False
DUTY_0003,1,2026-04-10,morning,2026-04-10 00:15:00,2026-04-10 09:27:33.600,3,317.75,72.73,0,0,552.56,12.559999999999945,False
DUTY_0005,2,2026-04-10,morning,2026-04-10 01:00:00,2026-04-10 10:48:14.400,4,252.11,62.5,1,0,588.24,48.24000000000001,False
DUTY_0007,3,2026-04-10,morning,2026-04-10 01:00:00,2026-04-10 10:49:53.400,3,490.74,40.906666666666666,1,0,589.89,49.889999999999986,False
DUTY_0009,4,2026-04-10,morning,2026-04-10 01:30:00,2026-04-10 10:28:39.600,3,471.80999999999995,51.51333333333334,0,0,538.66,0.0,False
DUTY_0011,5,2026-04-10,morning,2026-04-10 03:00:00,2026-04-10 11:26:54.000,2,471.63,75.0,0,0,506.9,0.0,False
DUTY_0013,6,2026-04-10,morning,2026-04-10 03:00:00,2026-04-10 11:25:53.400,3,430.0,66.66666666666667,0,0,505.89000000000004,0.0,False
DUTY_0015,7,2026-04-10,morning,2026-04-10 03:00:00,2026-04-10 11:15:46.800,3,413.56999999999994,66.66666666666667,0,0,495.78,0.0,False
DUTY_0017,8,2026-04-10,morning,2026-04-10 03:15:00,2026-04-10 11:57:18.600,4,405.66999999999996,59.09,1,0,522.31,0.0,False
DUTY_0019,9,2026-04-10,morning,2026-04-10 03:15:00,2026-04-10 11:17:59.400,3,407.49,75.75666666666667,0,0,482.99,0.0,False
DUTY_0021,10,2026-04-10,morning,2026-04-10 03:30:00,2026-04-10 12:25:00.600,4,391.48999999999995,75.0,0,0,535.01,0.0,False
DUTY_0023,11,2026-04-10,morning,2026-04-10 03:30:00,2026-04-10 11:21:37.200,4,331.69000000000005,64.775,0,0,471.62,0.0,False
DUTY_0025,12,2026-04-10,morning,2026-04-10 03:30:00,2026-04-10 12:03:53.400,2,483.89,40.91,0,0,513.89,0.0,False
DUTY_0027,13,2026-04-10,morning,2026-04-10 04:00:00,2026-04-10 13:19:07.800,3,436.63,45.45666666666667,0,0,559.13,19.129999999999995,False
DUTY_0002,1,2026-04-10,evening,2026-04-10 14:30:00,2026-04-10 21:15:52.800,3,280.73,62.120000000000005,0,3,405.88,0.0,False
DUTY_0004,2,2026-04-10,evening,2026-04-10 14:45:00,2026-04-10 19:27:29.400,1,282.49,36.36,0,1,282.49,0.0,False
DUTY_0006,3,2026-04-10,evening,2026-04-10 15:00:00,2026-04-10 21:28:51.000,3,319.66999999999996,74.24000000000001,0,3,388.85,0.0,False
DUTY_0008,4,2026-04-10,evening,2026-04-10 15:00:00,2026-04-10 21:38:52.200,3,292.9,62.123333333333335,1,3,398.87,0.0,False
DUTY_0010,5,2026-04-10,evening,2026-04-10 16:00:00,2026-04-10 21:39:23.400,2,309.39,40.905,1,2,339.39000000000004,0.0,False
DUTY_0012,6,2026-04-10,evening,2026-04-10 16:15:00,2026-04-10 21:15:10.800,3,215.39000000000001,46.96666666666667,0,3,300.18,0.0,False
DUTY_0014,7,2026-04-10,evening,2026-04-10 16:15:00,2026-04-10 23:49:01.800,2,424.03,79.545,0,2,454.03,0.0,False
DUTY_0016,8,2026-04-10,evening,2026-04-10 16:30:00,2026-04-10 20:58:25.200,2,238.42,86.36,0,2,268.42,0.0,False
DUTY_0018,9,2026-04-10,evening,2026-04-10 16:45:00,2026-04-10 21:27:29.400,1,282.49,95.45,0,1,282.49,0.0,False
DUTY_0020,10,2026-04-10,evening,2026-04-10 17:15:00,2026-04-11 01:45:19.200,2,441.48,72.725,0,2,510.32,0.0,False
DUTY_0022,11,2026-04-10,evening,2026-04-10 17:15:00,2026-04-10 23:54:39.600,3,234.98,65.14999999999999,0,3,399.65999999999997,0.0,False
DUTY_0024,12,2026-04-10,evening,2026-04-10 17:15:00,2026-04-11 00:38:53.400,3,256.31,68.18333333333334,0,3,443.89000000000004,0.0,False
DUTY_0026,13,2026-04-10,evening,2026-04-10 17:15:00,2026-04-11 01:04:17.400,3,293.6,84.85000000000001,0,3,469.29,0.0,False
