peak_bin_dt,direction,employees,theoretical_buses
2026-04-11 00:00:00,IN,7,1
2026-04-11 00:00:00,OUT,13,1
2026-04-11 01:00:00,OUT,38,2
2026-04-11 02:00:00,OUT,4,1
2026-04-11 03:00:00,OUT,131,6
2026-04-11 04:00:00,IN,2,1
2026-04-11 04:00:00,OUT,9,1
2026-04-11 05:00:00,OUT,165,8
2026-04-11 06:00:00,IN,15,1
2026-04-11 06:00:00,OUT,27,2
2026-04-11 08:00:00,IN,10,1
2026-04-11 08:00:00,OUT,1,1
2026-04-11 09:00:00,IN,101,5
2026-04-11 09:00:00,OUT,10,1
2026-04-11 10:00:00,IN,19,1
2026-04-11 11:00:00,IN,89,5
2026-04-11 12:00:00,IN,8,1
2026-04-11 12:00:00,OUT,2,1
2026-04-11 13:00:00,IN,4,1
2026-04-11 14:00:00,IN,16,1
2026-04-11 15:00:00,OUT,1,1
2026-04-11 16:00:00,IN,28,2
2026-04-11 16:00:00,OUT,32,2
2026-04-11 17:00:00,IN,10,1
2026-04-11 17:00:00,OUT,8,1
2026-04-11 18:00:00,IN,109,5
2026-04-11 18:00:00,OUT,84,4
2026-04-11 19:00:00,IN,12,1
2026-04-11 19:00:00,OUT,11,1
2026-04-11 20:00:00,IN,169,8
2026-04-11 20:00:00,OUT,74,4
2026-04-11 21:00:00,IN,14,1
2026-04-11 21:00:00,OUT,4,1
2026-04-11 22:00:00,IN,1,1
2026-04-11 22:00:00,OUT,2,1
2026-04-11 23:00:00,OUT,28,2
