peak_bin_dt,direction,employees,theoretical_buses
2026-04-06 00:00:00,IN,9,1
2026-04-06 00:00:00,OUT,16,1
2026-04-06 01:00:00,OUT,30,2
2026-04-06 02:00:00,OUT,4,1
2026-04-06 03:00:00,OUT,124,6
2026-04-06 04:00:00,IN,2,1
2026-04-06 04:00:00,OUT,9,1
2026-04-06 05:00:00,OUT,168,8
2026-04-06 06:00:00,IN,13,1
2026-04-06 06:00:00,OUT,24,2
2026-04-06 08:00:00,IN,6,1
2026-04-06 08:00:00,OUT,1,1
2026-04-06 09:00:00,IN,97,5
2026-04-06 09:00:00,OUT,8,1
2026-04-06 10:00:00,IN,21,1
2026-04-06 10:00:00,OUT,1,1
2026-04-06 11:00:00,IN,86,4
2026-04-06 12:00:00,IN,9,1
2026-04-06 12:00:00,OUT,3,1
2026-04-06 13:00:00,IN,4,1
2026-04-06 14:00:00,IN,16,1
2026-04-06 16:00:00,IN,22,1
2026-04-06 16:00:00,OUT,30,2
2026-04-06 17:00:00,IN,10,1
2026-04-06 17:00:00,OUT,4,1
2026-04-06 18:00:00,IN,99,5
2026-04-06 18:00:00,OUT,82,4
2026-04-06 19:00:00,IN,12,1
2026-04-06 19:00:00,OUT,11,1
2026-04-06 20:00:00,IN,170,8
2026-04-06 20:00:00,OUT,69,4
2026-04-06 21:00:00,IN,19,1
2026-04-06 21:00:00,OUT,4,1
2026-04-06 22:00:00,IN,2,1
2026-04-06 22:00:00,OUT,2,1
2026-04-06 23:00:00,OUT,35,2
