source_dataset,source_sheet,source_column,origin_id,store_name,normalized_store_name,source_store_id,reason
Employee Shift data.xlsx,TGIF,Store Name,11022411,TGIF - Gate Mall,tgif gate mall,11188220,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11024174,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11024120,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11025308,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11026504,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11026646,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11026836,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11027086,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11027511,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11028846,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11029629,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11027197,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11028917,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11027633,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11027822,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11029400,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11029446,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,TGIF,Store Name,11029494,TGIF - Gate Mall,tgif gate mall,11188090,no_strict_name_id_match
Employee Shift data.xlsx,KK,Store Name,11026426,Krispy Kre Mangaf Sultan Centr,krispy kre mangaf sultan centr,11198700,no_strict_name_id_match
Employee Shift data.xlsx,KK,Store Name,11029729,Krispy Kre Mangaf Sultan Centr,krispy kre mangaf sultan centr,11198700,no_strict_name_id_match
