duty_id,bus_id,service_date,rotation_tag,first_trip_start_dt,last_trip_end_dt,trip_count,trip_minutes,avg_occupancy_pct,rescued_trip_count,handover_trip_count,duty_span_min,overtime_min,over_10h_flag
DUTY_0001,1,2026-04-10,evening,2026-04-10 20:45:00,2026-04-11 00:08:13.200,1,203.22,31.82,0,1,203.22,0.0,False
DUTY_0003,1,2026-04-11,morning,2026-04-11 00:15:00,2026-04-11 09:27:33.600,3,293.14,77.27333333333334,0,0,552.56,12.559999999999945,False
DUTY_0005,2,2026-04-11,morning,2026-04-11 01:00:00,2026-04-11 08:40:01.800,3,253.38,57.57666666666666,0,0,460.03,0.0,False
DUTY_0007,3,2026-04-11,morning,2026-04-11 01:00:00,2026-04-11 10:28:09.600,3,482.96,45.45666666666667,0,0,568.16,28.159999999999968,False
DUTY_0009,4,2026-04-11,morning,2026-04-11 01:30:00,2026-04-11 10:21:40.200,3,464.77000000000004,56.06,0,0,531.67,0.0,False
DUTY_0011,5,2026-04-11,morning,2026-04-11 03:00:00,2026-04-11 11:18:51.600,3,435.75,57.573333333333345,0,0,498.85999999999996,0.0,False
DUTY_0013,6,2026-04-11,morning,2026-04-11 03:00:00,2026-04-11 11:15:46.800,3,422.55999999999995,72.72333333333334,0,0,495.78,0.0,False
DUTY_0015,7,2026-04-11,morning,2026-04-11 03:00:00,2026-04-11 11:24:36.600,3,363.54,57.576666666666675,0,0,504.60999999999996,0.0,False
DUTY_0017,8,2026-04-11,morning,2026-04-11 03:15:00,2026-04-11 12:26:40.800,3,451.29,74.24333333333334,0,0,551.6800000000001,11.680000000000064,False
DUTY_0019,9,2026-04-11,morning,2026-04-11 03:15:00,2026-04-11 11:26:27.000,3,386.98,63.63666666666666,0,0,491.45,0.0,False
DUTY_0021,10,2026-04-11,morning,2026-04-11 03:30:00,2026-04-11 11:17:57.000,3,393.48,71.21333333333334,0,0,467.95,0.0,False
DUTY_0023,11,2026-04-11,morning,2026-04-11 03:30:00,2026-04-11 12:00:48.600,5,309.84,63.638,1,0,510.81,0.0,False
DUTY_0025,12,2026-04-11,morning,2026-04-11 03:30:00,2026-04-11 11:24:21.600,3,410.42,71.21000000000001,0,0,474.35999999999996,0.0,False
DUTY_0027,13,2026-04-11,morning,2026-04-11 04:00:00,2026-04-11 13:56:59.400,4,503.64000000000004,79.545,1,0,596.99,56.99000000000001,False
DUTY_0002,1,2026-04-11,evening,2026-04-11 14:15:00,2026-04-11 21:01:48.000,2,376.79999999999995,95.455,0,2,406.8,0.0,False
DUTY_0004,2,2026-04-11,evening,2026-04-11 14:15:00,2026-04-11 21:29:27.000,2,339.29999999999995,29.549999999999997,0,2,434.45,0.0,False
DUTY_0006,3,2026-04-11,evening,2026-04-11 14:30:00,2026-04-11 19:26:43.200,1,296.72,36.36,0,1,296.72,0.0,False
DUTY_0008,4,2026-04-11,evening,2026-04-11 14:45:00,2026-04-11 21:48:42.000,2,350.21,86.36500000000001,0,2,423.7,0.0,False
DUTY_0010,5,2026-04-11,evening,2026-04-11 15:00:00,2026-04-11 19:22:12.600,2,223.02999999999997,77.275,0,2,262.21,0.0,False
DUTY_0012,6,2026-04-11,evening,2026-04-11 15:15:00,2026-04-11 19:21:15.000,1,246.25,45.45,0,1,246.25,0.0,False
DUTY_0014,7,2026-04-11,evening,2026-04-11 16:00:00,2026-04-11 20:55:07.200,2,260.32,75.0,0,2,295.12,0.0,False
DUTY_0016,8,2026-04-11,evening,2026-04-11 16:15:00,2026-04-11 21:05:38.400,2,237.87,86.36500000000001,0,2,290.64000000000004,0.0,False
DUTY_0018,9,2026-04-11,evening,2026-04-11 16:30:00,2026-04-11 20:53:43.800,2,226.25,75.0,0,2,263.72999999999996,0.0,False
DUTY_0020,10,2026-04-11,evening,2026-04-11 16:45:00,2026-04-11 21:27:37.200,1,282.62,54.55,0,1,282.62,0.0,False
DUTY_0022,11,2026-04-11,evening,2026-04-11 17:00:00,2026-04-11 23:02:08.400,3,216.54,53.03,0,3,362.14000000000004,0.0,False
DUTY_0024,12,2026-04-11,evening,2026-04-11 17:00:00,2026-04-12 00:10:13.200,3,260.85,65.14999999999999,0,3,430.22,0.0,False
DUTY_0026,13,2026-04-11,evening,2026-04-11 17:15:00,2026-04-12 01:11:50.400,2,424.62,54.545,0,2,476.84000000000003,0.0,False
