peak_bin_dt,direction,employees,theoretical_buses
2026-04-07 00:00:00,IN,7,1
2026-04-07 00:00:00,OUT,15,1
2026-04-07 01:00:00,OUT,28,2
2026-04-07 02:00:00,OUT,4,1
2026-04-07 03:00:00,OUT,112,6
2026-04-07 04:00:00,IN,2,1
2026-04-07 04:00:00,OUT,10,1
2026-04-07 05:00:00,OUT,153,7
2026-04-07 06:00:00,IN,13,1
2026-04-07 06:00:00,OUT,25,2
2026-04-07 08:00:00,IN,7,1
2026-04-07 08:00:00,OUT,1,1
2026-04-07 09:00:00,IN,95,5
2026-04-07 09:00:00,OUT,7,1
2026-04-07 10:00:00,IN,21,1
2026-04-07 10:00:00,OUT,2,1
2026-04-07 11:00:00,IN,88,4
2026-04-07 12:00:00,IN,10,1
2026-04-07 12:00:00,OUT,2,1
2026-04-07 13:00:00,IN,3,1
2026-04-07 14:00:00,IN,15,1
2026-04-07 15:00:00,OUT,1,1
2026-04-07 16:00:00,IN,24,2
2026-04-07 16:00:00,OUT,28,2
2026-04-07 17:00:00,IN,10,1
2026-04-07 17:00:00,OUT,4,1
2026-04-07 18:00:00,IN,102,5
2026-04-07 18:00:00,OUT,85,4
2026-04-07 19:00:00,IN,12,1
2026-04-07 19:00:00,OUT,11,1
2026-04-07 20:00:00,IN,173,8
2026-04-07 20:00:00,OUT,69,4
2026-04-07 21:00:00,IN,13,1
2026-04-07 21:00:00,OUT,3,1
2026-04-07 22:00:00,IN,2,1
2026-04-07 22:00:00,OUT,2,1
2026-04-07 23:00:00,OUT,27,2
